Salaries
70031
70031
72372
70031
72372
70031
79005
70031
65051
66733
63982
56012
63572
38849
39804
63982
79213
44892
49887
70031
65051
48204
65051
64607
38849
65051
70031
65051
70031
70031
70031
38849
70031
79005
70031
70031
56012
70031
60042
70031
79005
70031
70031
70031
70031
70031
70031
49188
52680
70031
70031
70031
70031
38849
72372
72859
72372
79005
70031
70031
70031
38849
60042
79005
70031
79005
38849
73225
70031
70031
70031
72372
38849
52680
79005
60042
